"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.95057054;0.11460374;0.01631919;0.02917906;0.34568007;0.01643715;0.748048048048048;0.404504504504505;"maxent";1
0.01897328;0.00823428;-0.00519768;0.02873231;0.00855581;-0.00507715;0.901201201201201;0.710810810810811;"svm";1
0.97894754;0.66545941;0.51085921;0.0307078;0.70270766;0.51304211;0.869760479041916;0.684431137724551;"maxent";2
0.02327738;0.01941127;-6.781e-05;0.0278664;0.0121937;1.777e-05;0.889820359281437;0.764071856287425;"svm";2
0.94031508;0.84381552;0.45149706;0.02900704;0.71323617;0.45186989;0.887087087087087;0.688888888888889;"maxent";3
0.02594934;0.01710657;-0.00655578;0.02817542;0.00744939;-0.00644213;0.761861861861862;0.448948948948949;"svm";3
