"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.84613182;0.58903296;0.39954038;0.03791771;0.68551882;0.59190186;0.848694848694849;0.634788634788635;"maxent";1
0.02276985;0.01750731;0.009113;0.02425246;0.0178179;0.01480027;0.727395411605938;0.368645973909132;"svm";1
0.87287571;0.76509126;0.30919339;0.0350952;0.43210222;0.3137344;0.808383233532934;0.537924151696607;"maxent";2
0.02296865;0.0163713;0.01489966;0.02670681;0.01735465;0.01643361;0.780590717299578;0.457805907172996;"svm";2
0.8489386;0.53408303;0.05647797;0.03763552;0.60679139;0.34431817;0.804111804111804;0.566874566874567;"maxent";3
0.02271789;0.01857531;-0.00077045;0.04111917;0.01585857;0.01076156;0.722447143499775;0.39136302294197;"svm";3
