"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.3999;0.3999;-1e-04;-1e-04;0.0999;0.0999;0.596996996996997;0.166966966966967;"BioClim";1
0.79180189;0.79180189;0.79180189;0.48198693;0.82553049;0.79232194;0.606606606606607;0.444444444444444;"maxent";1
0.1999;0.1999;-1e-04;-1e-04;0.1999;0.0999;0.789820359281437;0.548502994011976;"BioClim";2
0.93795552;0.93795552;0.85636278;0.45782085;0.93810459;0.85777028;0.684431137724551;0.48562874251497;"maxent";2
0.3999;0.3999;-1e-04;-1e-04;0.0999;0.0999;0.654354354354354;0.372972972972973;"BioClim";3
0.99650391;0.94799252;0.61458452;0.01489064;0.81088145;0.61772175;0.709309309309309;0.416816816816817;"maxent";3
