taxon;lon;lat
"Prepusa montana Mart.";-40.9291667;-11.6427777
"Prepusa montana Mart.";-41.0008333;-11.6233334
"Prepusa montana Mart.";-41.4;-13
"Prepusa montana Mart.";-41.1166667;-11.45
"Prepusa montana Mart.";-43.8177777;-21.7102777
"Prepusa montana Mart.";-41.3727778;-13.0130556
"Prepusa montana Mart.";-41.2;-11.5833333
"Prepusa montana Mart.";-41.0013889;-11.6358334
"Prepusa montana Mart.";-40.9291667;-11.6427777
"Prepusa montana Mart.";-41.0008333;-11.6233334
"Prepusa montana Mart.";-41.4;-13
"Prepusa montana Mart.";-41.1166667;-11.45
"Prepusa montana Mart.";-43.8177777;-21.7102777
"Prepusa montana Mart.";-41.3727778;-13.0130556
"Prepusa montana Mart.";-41.2;-11.5833333
"Prepusa montana Mart.";-41.0013889;-11.6358334
