taxon;lon;lat
"Brocchinia Schult.f.";-59.6260765;-9.85681088736738
"Brocchinia Schult.f.";-60.3292015;-9.85680031690331
"Brocchinia cataractarum (Sandwith) B.Holst";-53.187875;-7.35332169197901
"Sequencia serrata (L.B.Sm.) Givnish";-45.2794095;-14.4741381683601
"Sequencia serrata (L.B.Sm.) Givnish";-53.718875;-10.2539083046955
"Brocchinia reducta Baker";-50.346275;-8.14746216656325
"Sequencia serrata (L.B.Sm.) Givnish";-58.64075;-8.86722606772965
"Brocchinia paniculata Schult.f.";-42.771764;-7.82268598657866
"Brocchinia micrantha (Baker) Mez";-54.2073154999999;-0.79296445275807
"Brocchinia reducta Baker";-51.867313;-6.56596781081176
"Brocchinia acuminata L.B.Sm.";-60.172222;-8.158889
"Brocchinia acuminata L.B.Sm.";-60.172222;-8.158889
"Brocchinia acuminata L.B.Sm.";-60.172222;-8.158889
"Brocchinia amazonica L.B.Sm.";-63.333;-0.863
