"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.99973019;0.80539943;0.80539943;0.03076289;0.9598275;0.8084618;0.824109824109824;0.624624624624625;"maxent";1
0.0140534;0.01056492;0.01064135;0.01950134;0.01092041;0.01092041;0.938775510204082;0.845714285714286;"svm";1
0.9032969;0.71510102;0.71510102;0.05427052;0.90423794;0.7172717;0.744011976047904;0.592814371257485;"maxent";2
0.01464249;0.01199441;0.01208647;0.02038024;0.01219874;0.01215175;0.926111111111111;0.813333333333333;"svm";2
0.99001815;0.58852287;0.58852287;0.03140657;0.75518967;0.59953906;0.669240669240669;0.477477477477477;"maxent";3
0.01585758;0.01017269;0.00553865;0.01917376;0.01020588;0.0056517;0.841224489795918;0.611428571428571;"svm";3
