taxon;lon;lat
"Eugenia aurata O.Berg";-45.9027778;-15.3913889
"Eugenia aurata O.Berg";-52.3572222;-21.6166667
"Eugenia aurata O.Berg";-48.5833333;-14.2666667
"Eugenia aurata O.Berg";-48.1413889;-13.8972222
"Eugenia aurata O.Berg";-44.4683334;-20.2083333
"Eugenia aurata O.Berg";-50.1894444;-16.0783334
"Eugenia aurata O.Berg";-43.8730556;-5.3155556
"Eugenia aurata O.Berg";-47.9013889;-22.2883333
"Eugenia aurata O.Berg";-53.3247223;-17.2202778
"Eugenia aurata O.Berg";-48.964444;-15.713333
"Eugenia aurata O.Berg";-53.8925;-19.031667
"Eugenia aurata O.Berg";-53.988889;-19.617056
"Eugenia aurata O.Berg";-48.742778;-22.813889
"Eugenia aurata O.Berg";-47.0031;-23.1469
"Eugenia aurata O.Berg";-50.627222;-16.992056
"Eugenia aurata O.Berg";-49.291944;-14.198333
"Eugenia aurata O.Berg";-55.486694;-20.456306
"Eugenia aurata O.Berg";-39.7252778;-19.3516667
"Eugenia aurata O.Berg";-49.2619444;-18.2208334
"Eugenia aurata O.Berg";-50.3666667;-22.5833333
"Eugenia aurata O.Berg";-55.0666667;-15.0166667
"Eugenia aurata O.Berg";-50.3811111;-22.6044444
"Eugenia aurata O.Berg";-54.85;-14.8833333
"Eugenia aurata O.Berg";-49.2919444;-14.1983333
"Eugenia aurata O.Berg";-47.9177778;-22.2958333
