"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.57621886;0.57621886;0.57627131;0.37999873;0.65304466;0.57917424;0.370870870870871;0.192192192192192;"maxent";1
0.01055091;0.00237057;0.00242901;0.0118506;0.00294725;0.00247794;0.779220779220779;0.636363636363636;"svm";1
0.70151313;0.63273014;0.63273014;0.45388292;0.66900183;0.63321336;0.635928143712575;0.347305389221557;"maxent";2
0.01180955;0.00956013;0.0095604;0.01267091;0.00957292;0.00957292;0.940625;0.841145833333333;"svm";2
0.67442949;0.67442949;0.6218849;0.40134339;0.67477139;0.62204309;0.590840840840841;0.347597597597598;"maxent";3
0.01921311;0.00744584;0.00744584;0.01271716;0.00776892;0.00748667;0.846590909090909;0.720779220779221;"svm";3
