taxon;lon;lat
"Aiouea saligna Meisn.";-55.2666667;-16.3166667
"Aiouea saligna Meisn.";-51.7666667;-12.8166667
"Aiouea saligna Meisn.";-43.1188889;-22.5830556
"Aiouea saligna Meisn.";-58.3;-14.3833333
"Aiouea saligna Meisn.";-43.1338889;-22.5961111
"Aiouea saligna Meisn.";-45.8;-12.0833333
"Aiouea saligna Meisn.";-44.5666667;-22.25
"Aiouea saligna Meisn.";-42.8436111;-22.2761111
"Aiouea saligna Meisn.";-42.25;-22.5
"Aiouea saligna Meisn.";-42.25;-22.5
"Aiouea saligna Meisn.";-42.8333333;-22.4333333
"Aiouea saligna Meisn.";-40.8261111;-19.3247223
"Aiouea saligna Meisn.";-40.8127778;-18.8713889
"Aiouea saligna Meisn.";-49.86;-28.8
"Aiouea saligna Meisn.";-42.0188889;-22.6058333
"Aiouea saligna Meisn.";-43.4327778;-19.4316667
"Aiouea saligna Meisn.";-43.0794445;-22.4727778
"Aiouea saligna Meisn.";-48.5633333;-26.3497222
"Aiouea saligna Meisn.";-43.08;-22.6805556
"Aiouea saligna Meisn.";-43.2666667;-22.55
"Aiouea saligna Meisn.";-42.2666667;-22.55
"Aiouea saligna Meisn.";-50.2369444;-30.0469444
"Aiouea saligna Meisn.";-39.8733333;-19.1658333
"Aiouea saligna Meisn.";48.6044444;-25.8994444
"Aiouea saligna Meisn.";-41.0983333;-20.4325
"Aiouea saligna Meisn.";-48.591944;-26.794722
"Aiouea saligna Meisn.";-49.416667;-8
"Aiouea saligna Meisn.";-48.960833;-28.080556
"Aiouea saligna Meisn.";-51.011944;-29.673056
"Aiouea saligna Meisn.";-48.5833;-25.9114
"Aiouea saligna Meisn.";-48.583333;-25.911389
"Aiouea saligna Meisn.";-48.583333;-25.911389
"Aiouea saligna Meisn.";-48.583333;-25.911389
"Aiouea saligna Meisn.";-48.583333;-25.911389
"Aiouea saligna Meisn.";-50.169714;-29.897839
"Aiouea saligna Meisn.";-49.9525;-29.159444
"Aiouea saligna Meisn.";-48.585556;-25.910556
"Aiouea saligna Meisn.";-48.585556;-25.910556
"Aiouea saligna Meisn.";-48.585556;-25.910556
"Aiouea saligna Meisn.";0;0
"Aiouea saligna Meisn.";-49.375;-26.945555
"Aiouea saligna Meisn.";-48.604444;-25.899444
"Aiouea saligna Meisn.";-48.604444;-25.899444
"Aiouea saligna Meisn.";-48.604519;-25.899314
"Aiouea saligna Meisn.";-48.604444;-25.899444
