"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.70019646;0.70019646;0.70019646;0.41925104;0.71028663;0.70216353;0.720720720720721;0.681681681681682;"maxent";1
0.01234297;0.01112138;0.01112138;0.01269263;0.01112138;0.01117788;0.977272727272727;0.918831168831169;"svm";1
0.72243948;0.72243948;0.44809713;0.31572287;0.64490922;0.45063879;0.621556886227545;0.339520958083832;"maxent";2
0.00848762;0.00848762;-0.00083466;0.01299764;0.0068229;-0.0008309;0.761458333333333;0.661979166666667;"svm";2
0.69462861;0.69462861;0.55849953;0.38063042;0.69462861;0.55884476;0.635885885885886;0.416666666666667;"maxent";3
0.01230328;0.00942851;0.0094337;0.01250328;0.00952188;0.00948495;0.917207792207792;0.737012987012987;"svm";3
